title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
GraphMASAL: A Graph-based Multi-Agent System for Adaptive Learning,"B Zeng, M Liu, Z Zhen",2025.0,4,"… knowledge graph as the system’s foundation, which not only ensures the domain … knowledge bases cannot meet this requirement. Therefore, we implement a dynamic knowledge graph …",4nwwdkyzfk4J,"B Zeng, M Liu, Z Zhen - arXiv preprint arXiv:2511.11035, 2025 - arxiv.org",[],https://arxiv.org/abs/2511.11035,unknown,unknown
Meta multi-agent exercise recommendation: A game application perspective,"F Liu, X Hu, S Liu, C Bu, L Wu",2023.0,25,"… Multi-Agent Exercise Recommendation (MMER). Specifically, we design the multi-agent exercise recommendation … Review of personalized recommendation techniques for learners in e-…",LAgWEzpdYK0J,"F Liu, X Hu, S Liu, C Bu, L Wu - … ACM SIGKDD conference on knowledge …, 2023 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3580305.3599429,unknown,unknown
"Accurate insights, trustworthy interactions: Designing a collaborative ai-human multi-agent system with knowledge graph for diagnosis prediction","H Li, X Cheng, X Zhang",2025.0,14,… 3 SYSTEM DESIGN 3.1 Medical Multi-Agent System Design This study proposes a Multi-Agent System (… By integrating Biomedical Knowledge Graphs (KG) and Retrieval-Augmented …,myADUaUrgbQJ,"H Li, X Cheng, X Zhang - … on Human Factors in Computing Systems, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3706598.3713526,unknown,unknown
A personalized recommendation system based on multi-agent,"L Huang, L Dai, Y Wei, M Huang",2008.0,27,"… The system structure As a multi-agent system, APRS is divided into three layers each of which is composed of multiple agents: human-machine interaction at the top, information …",uWL-5Y_CVIQJ,"L Huang, L Dai, Y Wei, M Huang - 2008 Second International …, 2008 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/4637432/,unknown,unknown
Personalized Learning Path Recommendation Based on Knowledge Graphs: A Survey,"A Li, Y Li, X Gao",2026.0,10,"… indicate that knowledge graph-based recommendation in … multi-level personalized recommendation scenarios, including … Recent studies have explored multi-agent reinforcement …",ZfV1_TiDUEMJ,"A Li, Y Li, X Gao - Electronics, 2026 - mdpi.com",[],https://www.mdpi.com/2079-9292/15/1/238,unknown,unknown
Multi-agent personalized recommendation system in e-commerce based on user,"N Vullam, SS Vellela, V Reddy…",2023.0,155,… A multi-agent system is better than a one-agent system because it can improve each agent's essential abilities and solve problems that are too difficult for one agent to handle. These …,JuXSAjt1koEJ,"N Vullam, SS Vellela, V Reddy… - … on Applied Artificial …, 2023 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10140756/,unknown,unknown
Design and Implementation of Multi-Agent Learning Algorithms for Adaptive Knowledge Construction,X Wang,2025.0,0,,5dGpDbFw0nwJ,"X Wang - Proceedings of the 2025 9th International Conference …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3761843.3764067,unknown,unknown
Towards Autonomous Personal Health Knowledge Graphs Through Multi-agent Collaboration,"C Cola, C Costea, H Valean",2025.0,0,… multi-agent systems and large language models to support the development of personalized health knowledge systems… of health-related knowledge graphs. The results highlight the …,lNjWrif-qcwJ,"C Cola, C Costea, H Valean - International Conference on e-Health and …, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-24724-7_35,unknown,unknown
Knowledge Graphs Through Multi-agent,"C Cola, C Costea, H Valean",,0,… multi-agent systems and large language models to support the development of personalized health knowledge systems… of health-related knowledge graphs. The results highlight the …,Sjis2v3FUngJ,"C Cola, C Costea, H Valean - Advances in Digital Health and Medical … - books.google.com",[],https://books.google.com/books?hl=en&lr=&id=l6PdEQAAQBAJ&oi=fnd&pg=PA347&dq=multi-agent+system+personalized+recommendation+knowledge+graph&ots=uzet4tWX5h&sig=3MilPnCddGP7O5axR-DatUWfrz0,unknown,unknown
Towards Self-X cognitive manufacturing network: An industrial knowledge graph-based multi-agent reinforcement learning approach,"P Zheng, L Xia, C Li, X Li, B Liu",2021.0,245,"… To pave its way, this work stepwise introduces an industrial knowledge graph (IKG)-based multi-agent reinforcement learning (MARL) method for achieving the Self-X cognitive …",N60CGTD-jesJ,"P Zheng, L Xia, C Li, X Li, B Liu - Journal of Manufacturing Systems, 2021 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0278612521001643,unknown,unknown
