title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Mcore: Multi-agent collaborative learning for knowledge-graph-enhanced recommendation,"X Li, Y Shen, L Chen",2021.0,10,… Personalized recommendation service is a core competency of large Internet … Multi-agent system to capture deeper user preference factors and improve model recommendation …,uRQxqZWf0IgJ,"X Li, Y Shen, L Chen - 2021 IEEE International Conference on …, 2021 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9679143/,unknown,unknown
Mixture-of-Experts Knowledge Graph Retrieval-Augmented Generation for Multi-Agent LLM-based Recommendation,"S Wang, C Liu, Y Ding, S Lin, SK Ng, X Xin…",2026.0,1,"… To address these issues, we propose MixRAGRec, a cooperative multiagent framework for KG-RAG recommendations. MixRAGRec integrates a Mixture-of-Experts Retrieval Agent that …",-2L6acalxjEJ,"S Wang, C Liu, Y Ding, S Lin, SK Ng, X Xin… - arXiv preprint arXiv …, 2026 - arxiv.org",[],https://arxiv.org/abs/2605.28175,unknown,unknown
Online Course Recommendation Based on Multi-Agent Systems and Knowledge Graphs,"Z Zhong, C Shao, Y Hong, Q Li",2025.0,0,"… accuracy but also delivers precise, personalized recommendations tailored to individual … the effectiveness of both the knowledge graph and the multi-agent architecture. Future work will …",5m47ZU5wkY4J,"Z Zhong, C Shao, Y Hong, Q Li - Proceedings of the 2025 2nd …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3775073.3775240,unknown,unknown
Integrating knowledge graphs with ancient Chinese medicine classics: challenges and future prospects of multi-agent system convergence,"S Xiang, H Lin, F Cai, Z Jiang",2025.0,10,"… on Cold Damage to research a personalized recommendation model for course learning … learners and provides precise, personalized recommendations for learning materials based …",QkbuM_huYGsJ,"S Xiang, H Lin, F Cai, Z Jiang - Chinese Medicine, 2025 - Springer",[],https://link.springer.com/article/10.1186/s13020-025-01226-7,unknown,unknown
A multi-agent conversational recommender system,"J Fang, S Gao, P Ren, X Chen, S Verberne…",2024.0,87,"… knowledge, our study is the first to propose an LLM-based multi-agent system for conversation recommendation… BARCOR and KBRD rely on knowledge graphs and face limitations in …",DCLfAuxQTcYJ,"J Fang, S Gao, P Ren, X Chen, S Verberne… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2402.01135,unknown,unknown
Knowledge graph enhanced language agents for recommendation,"T Guo, C Liu, H Wang, V Mannam, F Wang…",2024.0,19,"… and ineffective recommendations. In this work, we explore the utility of Knowledge Graphs (KGs), … relationships between users and items, for recommendation. Our key insight is that the …",yPnVCExbQcoJ,"T Guo, C Liu, H Wang, V Mannam, F Wang… - arXiv preprint arXiv …, 2024 - arxiv.org",[],https://arxiv.org/abs/2410.19627,unknown,unknown
"MMAgentRec, a personalized multi-modal recommendation agent with large language model",X Xiao,2025.0,20,"… of a multi-agent system, providing users with more intelligent and personalized travel … PARL has been introduced for personalized recommendations, demonstrating exceptional …",JyXlpzytzoMJ,"X Xiao - Scientific Reports, 2025 - nature.com",[],https://www.nature.com/articles/s41598-025-96458-w,unknown,unknown
An Autonomous Multi-Agent System for Customized Scientific Literature Recommendation: A Tool for Researchers and Students,"A Herrouz, M Djoudi, HE Degha…",2023.0,2,"… However, this approach was found to rely exclusively on offline data, thereby limiting its capacity to provide personalized recommendations. This limitation was attributed to the lack of a …",xSfw79UO6RYJ,"A Herrouz, M Djoudi, HE Degha… - Revue des Sciences et …, 2023 - hal.science",[],https://hal.science/hal-04722689/,unknown,unknown
Intelligent Agents with Adaptive Knowledge Fusion for Personalized Recommendation,"Y Yu, Z Wang, C Jiang, X Li, J Wang…",2025.0,4,"… Multi-agent personalized recommendation system in e-commerce based on user. In 2023 2nd International Conference on Applied Artificial Intelligence and Computing (ICAAIC). IEEE, …",rTYaS4EjitQJ,"Y Yu, Z Wang, C Jiang, X Li, J Wang… - … Proceedings of the ACM …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3701716.3719230,unknown,unknown
Implicit: a multi-agent recommendation system for web search,"A Birukou, E Blanzieri, P Giorgini",2012.0,29,"… In order to personalize recommendations, recommendation systems analyze user queries, … extract knowledge about user needs and patterns of behavior. Recommendation systems are …",E4Dv-i5l6OYJ,"A Birukou, E Blanzieri, P Giorgini - … Agents and Multi-Agent Systems, 2012 - Springer",[],https://link.springer.com/article/10.1007/s10458-010-9148-z,unknown,unknown
