title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
How good your recommender system is? A survey on evaluations in recommendation,"T Silveira, M Zhang, X Lin, Y Liu, S Ma",2019,421,… used rank and recall in their metrics. Hurley and Zhang [15] also uses precision in their evaluations. … in this work agree that diversity represents variety of items in recommendation lists. …,Q3CMSBgNJKsJ,"T Silveira, M Zhang, X Lin, Y Liu, S Ma - … Journal of Machine Learning and …, 2019 - Springer",[],https://link.springer.com/article/10.1007/s13042-017-0762-9,unknown,unknown
A comprehensive survey of evaluation techniques for recommendation systems,"A Jadon, A Patil",2024,113,"… metric in recommendation systems, focusing on the diversity of … recommendation systems as it helps assess the accuracy and … Recall@k is a metric used to evaluate recommendation …",RnjCwUMjgZoJ,"A Jadon, A Patil - International Conference on Computation of Artificial …, 2024 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-031-71484-9_25,unknown,unknown
"Diversity, serendipity, novelty, and coverage: a survey and empirical analysis of beyond-accuracy objectives in recommender systems","M Kaminskas, D Bridge",2016,796,"… recommendation algorithms optimized for recall along with a number of reranking strategies for optimizing the diversity, … definition of diversity and the metrics proposed for measuring the …",enRoqoK7ubIJ,"M Kaminskas, D Bridge - … Transactions on Interactive Intelligent Systems …, 2016 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2926720,unknown,unknown
Rank and relevance in novelty and diversity metrics for recommender systems,"S Vargas, P Castells",2011,1045,… diversity metrics that unifies and generalizes several state of the art … evaluated by using complementary accuracy metrics (recall and precision) and studying the decrease of accuracy as …,q4EJ8X9djBkJ,"S Vargas, P Castells - … fifth ACM conference on Recommender systems, 2011 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2043932.2043955,unknown,unknown
Comparing context-aware recommender systems in terms of accuracy and diversity,"U Panniello, A Tuzhilin, M Gorgoglione",2014,231,"… We computed the average value of each accuracy and diversity metric of each CARS … in terms of predictive accuracy as determined by the F-, Precision and Recall measures. The …",FNkFQLSJci4J,"U Panniello, A Tuzhilin, M Gorgoglione - … and User-Adapted Interaction, 2014 - Springer",[],https://link.springer.com/article/10.1007/s11257-012-9135-y,unknown,unknown
Customer satisfaction of recommender system: Examining accuracy and diversity in several types of recommendation approaches,"J Kim, I Choi, Q Li",2021,113,"… recommendation list, we employ the precision, recall, and F1 score metrics, which are widely used in Top-K recommendation … precision recall and F1 score for Top-K recommendations …",QySyHnu0PqUJ,"J Kim, I Choi, Q Li - Sustainability, 2021 - mdpi.com",[],https://www.mdpi.com/2071-1050/13/11/6165,unknown,unknown
Towards unified metrics for accuracy and diversity for recommender systems,"J Parapar, F Radlinski",2021,63,"… evaluation, to Recommender Systems. The proposed metric combines topical diversity and accu… S-Recall@k only computes the coverage of each of the aspects in the first k positions, ie, …",4rJUL9mOQt8J,"J Parapar, F Radlinski - … ACM Conference on Recommender Systems, 2021 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3460231.3474234,unknown,unknown
Fairness and diversity in recommender systems: a survey,"Y Zhao, Y Wang, Y Liu, X Cheng…",2025,195,"… extend beyond traditional accuracy-focused evaluation metrics. Recommender systems face … The primary goal of these systems is to improve utility performance (eg, recall, click-through …",1ctvCGLXG48J,"Y Zhao, Y Wang, Y Liu, X Cheng… - … Intelligent Systems and …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3664928,unknown,unknown
Diversity in recommender systems–A survey,"M Kunaver, T Požrl",2017,777,… Diversification has become one of the leading topics of recommender system research not … quality of the user’s experience with the recommender system. This article aims to provide an …,qkXYn9OXJO8J,"M Kunaver, T Požrl - Knowledge-based systems, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0950705117300680,unknown,unknown
Post processing recommender systems for diversity,"A Antikacioglu, R Ravi",2017,112,"… several wellestablished metrics for measuring sales diversity, and we … Recall that aggregate diversity is the total number of items … Beyond accuracy: evaluating recommender systems by …",7ZKwDl96aSkJ,"A Antikacioglu, R Ravi - … Conference on Knowledge Discovery and Data …, 2017 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3097983.3098173,unknown,unknown
Diversity in recommender systems–A survey,"M Kunaver, T Požrl",2017,777,… Diversification has become one of the leading topics of recommender system research not … quality of the user’s experience with the recommender system. This article aims to provide an …,qkXYn9OXJO8J,"M Kunaver, T Požrl - Knowledge-based systems, 2017 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0950705117300680,unknown,unknown
Recommender systems for social networks analysis and mining: precision versus diversity,"A Javari, M Izadi, M Jalili",2015,15,"… In the rest of the paper, we first explain the diversity/novelty-accuracy dilemma and introduce some metrics for evaluating recommender systems. Then, we illustrate our two proposed …",vgF3MSuExW8J,"A Javari, M Izadi, M Jalili - … Systems and Networks: Dynamics, Controls and …, 2015 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-662-47824-0_16,unknown,unknown
Effective methods for increasing aggregate diversity in recommender systems,"MÖ Karakaya, T Aytekin",2018,70,"… -mean-squared error (RMSE), precision, and recall. Although … low aggregate diversity means that the recommender system … We will give the precise definitions of the diversity metrics we …",dGBFOFP_FZEJ,"MÖ Karakaya, T Aytekin - knowledge and Information Systems, 2018 - Springer",[],https://link.springer.com/article/10.1007/s10115-017-1135-0,unknown,unknown
Post processing recommender systems for diversity,"A Antikacioglu, R Ravi",2017,112,"… several wellestablished metrics for measuring sales diversity, and we … Recall that aggregate diversity is the total number of items … Beyond accuracy: evaluating recommender systems by …",7ZKwDl96aSkJ,"A Antikacioglu, R Ravi - … Conference on Knowledge Discovery and Data …, 2017 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3097983.3098173,unknown,unknown
Predicting online performance of news recommender systems through richer evaluation metrics,"A Maksai, F Garcin, B Faltings",2015,134,"… In addition to accuracy metrics, we combine diversity, coverage, … 2, we review the different metrics, find those that are most likely to affect … 4, using this model and the metric trade-offs, we …",FcG09VyqussJ,"A Maksai, F Garcin, B Faltings - … Conference on Recommender Systems, 2015 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/2792838.2800184,unknown,unknown
Temporal diversity in recommender systems,"N Lathia, S Hailes, L Capra, X Amatriain",2010,440,"… the precision and recall of ranked recommendations [1]. However, the set of evaluation measures … Our temporal diversity metric is based on pairwise comparisons; we compare each …",Gy8E14mvbg8J,"N Lathia, S Hailes, L Capra, X Amatriain - … conference on Research and …, 2010 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/1835449.1835486,unknown,unknown
"Beyond accuracy measures: the effect of diversity, novelty and serendipity in recommender systems on user engagement","Y Ping, Y Li, J Zhu",2025,58,"… accuracy-related metrics to evaluate the performance of the RS (31% apply accuracy, 35% use recall … The information system team can apply the metrics introduced in this study to …",5xiaKLOhi_UJ,"Y Ping, Y Li, J Zhu - Electronic Commerce Research, 2025 - Springer",[],https://link.springer.com/article/10.1007/s10660-024-09813-w,unknown,unknown
